cricos_code,institution_name,website_url,phone_number,email
00001K,Canberra Institute of Technology,https://international.cit.edu.au/,0262073107,margot.mcneill@cit.edu.au
00002J,Macquarie University (Macquarie),http://www.mq.edu.au,61298504890,rorden.wilkinson@mq.edu.au
00003G,University of New England,http://www.une.edu.au,67732004,VC@une.edu.au
00004G,Australian Catholic University Limited,http://www.acu.edu.au,61294659091,Zlatko.Skrbis@acu.edu.au
00005F,Charles Sturt University (CSU),http://www.csu.edu.au,0263384209,vc@csu.edu.au
00008C,Monash University (Monash),http://www.monash.edu.au,0399059155,allie.clemans@monash.edu
00011G,Gordon Institute of TAFE,http://www.gordontafe.edu.au/,0352250660,international@gordontafe.edu.au
00012G,Holmesglen Institute,http://www.holmesglen.edu.au,0395641503,Mary.Faraone@holmesglen.edu.au
00017B,Bond University,http://www.bond.edu.au/,0755951055,registrar@bond.edu.au
00018A,Department for Education,http://www.internationalstudents.sa.edu.au,0434265110,narelle.slivak3@sa.gov.au
00020G,Department of Training and Workforce Development,http://www.tafeinternational.wa.edu.au/,0892182151,Jacqui.Johnstone@dtwd.wa.gov.au
00025B,The University of Queensland,http://www.uq.edu.au,0733652224,academic.registrar@uq.edu.au
00026A,The University of Sydney,http://sydney.edu.au,61293515051,vice.chancellor@sydney.edu.au
00051M,ELC Career College Pty Ltd,http://www.elc.edu.au,0292675688,david.scott@elc.edu.au
00057E,Alexander Language School Pty Ltd,http://www.sgis.wa.edu.au,0892860290,plaurence@asc.wa.edu.au
00092B,TAFE SA,http://www.tafesa.edu.au/international,72103833,Simone.Hawkins@tafesa.edu.au
00094M,South Australian College of English Pty Ltd,http://www.sacecoll.sa.edu.au,0884105222,mkazmi@sacecoll.sa.edu.au
00098G,The University of New South Wales (UNSW),http://www.unsw.edu.au,61293852800,dvcacademic@unsw.edu.au
00099F,University of Technology Sydney (UTS),http://www.uts.edu.au,95141513,mychel.palamountain@uts.edu.au
00102E,University of Wollongong (UoW),http://www.uow.edu.au,0242214140,hpartridge@uow.edu.au
00103D,Federation University Australia,http://www.federation.edu.au,0353279241,j.giri@federation.edu.au
00109J,The University of Newcastle (UoN),http://www.newcastle.edu.au,0249215114,dvc-academic@newcastle.edu.au
00111D,Swinburne University of Technology,https://www.swinburne.edu.au/international,0392143361,blneyland@swin.edu.au
00113B,Deakin University (Deakin),http://www.deakin.edu.au/,0392446570,n.calastas@deakin.edu.au
00114A,Flinders University,http://www.flinders.edu.au/,0882012061,colin.stirling@flinders.edu.au
00115M,La Trobe University (La Trobe),http://www.latrobe.edu.au/international,6134791061,S.Farraway@latrobe.edu.au
00116K,The University of Melbourne (UniMelb),http://www.unimelb.edu.au/,61383445245,academic-registrar@unimelb.edu.au
00117J,James Cook University,http://www.jcu.edu.au,0747814165,vc@jcu.edu.au
00120C,Australian National University,http://www.anu.edu.au/,0455904531,bree.slater@anu.edu.au
00121B,University of South Australia (UniSA),http://www.unisa.edu.au,0883024071,darren.turner@unisa.edu.au
00122A,Royal Melbourne Institute of Technology,http://www.rmit.edu.au,61399258606,academic.registrar@rmit.edu.au
00123M,The University of Adelaide (Adelaide),http://www.adelaide.edu.au,0883134001,start@adelaide.edu.au
00124K,Victoria University,http://www.vu.edu.au/,0399195077,John.Germov@vu.edu.au
00125J,Murdoch University (Murdoch),http://www.murdoch.edu.au,61893606000,Kelly.Smith@murdoch.edu.au
00126G,The University of Western Australia (UWA),http://www.uwa.edu.au/,0864880129,guy.littlefair@uwa.edu.au
00129E,Ballarat and Queen's Anglican Grammar School,http://www.bgs.vic.edu.au,53380816,headmaster@bgs.vic.edu.au
00131M,Billanook College Limited,http://www.billanook.vic.edu.au,(03) 9725 5388,roger.oates@billanook.vic.edu.au
00132K,Brighton Grammar School,http://www.brightongrammar.vic.edu.au/,0385912206,featherstonr@brightongrammar.vic.edu.au
00134G,Education Institution Search,http://www.cgs.vic.edu.au/,,
00135G,Carey Baptist Grammar School Limited,http://www.carey.com.au,0398161200,principal@carey.com.au
00136F,Caulfield Grammar School,http://www.caulfieldgs.vic.edu.au/,0395246262,AshleighMartin@caulfieldgs.vic.edu.au
00138D,Eltham College,http://www.elthamcollege.vic.edu.au/,94371421,rlisle@elthamcollege.vic.edu.au
00139C,Fintona Girls School,http://www.fintona.vic.edu.au/,0398804440,rfalloon@fintona.vic.edu.au
00140K,Firbank Grammar School,http://www.firbank.vic.edu.au,0395915188,jwilliams@firbank.vic.edu.au
00141J,Camberwell Anglican Girls' Grammar School,http://www.cggs.vic.edu.au,98131166,principal@cggs.vic.edu.au
00142G,The Geelong College,http://www.geelongcollege.vic.edu.au/,0352263111,info@geelongcollege.vic.edu.au
00143G,Geelong Grammar School,http://www.ggs.vic.edu.au,0352739247,principal@ggs.vic.edu.au
00144F,The Hamilton and Alexandra College,http://www.hamiltoncollege.vic.edu.au/,0355721355,mhorne@hamiltoncollege.vic.edu.au
00145E,Huntingtower School Association,http://www.huntingtower.vic.edu.au/,039807888,smchristensen@huntingtower.vic.edu.au
00147C,The Ivanhoe Grammar School,http://www.ivanhoe.com.au,94903501,gerard.foley@ivanhoe.com.au
00149A,Kilvington Grammar School Limited,http://www.kilvington.vic.edu.au/,0395786231,frenchr@kilvington.vic.edu.au
00150G,Kingswood College Limited,http://www.kingswoodcollege.vic.edu.au,98961700,Gamble.c@kingswoodcollege.vic.edu.au
00151G,The Knox School Limited,http://www.knox.vic.edu.au/,0388053800,nikki.kirkup@knox.vic.edu.au
00152F,Lauriston Girls' School,http://lauriston.vic.edu.au/,0398647555,partingtonsa@lauriston.vic.edu.au
00161E,Kent Institute Australia Pty Ltd,http://www.kent.edu.au,90935102,Srujal.Patel@kent.edu.au
00172B,Mercury Colleges Pty. Limited,http://www.mercurycolleges.nsw.edu.au,0282111113,jacob@mercurycolleges.nsw.edu.au
00181A,Lan-Grove Office Training Centre Pty Ltd,http://www.sbta.com.au,0292122522,principal@sbta.com.au
00197D,Acknowledge Education Pty Ltd,https://www.acknowledgeeducation.edu.au/,0396633399,craig.jones@ae.edu.au
00202A,Cairns Business College Limited,http://www.cbcaustralia.com,0421775989,phil.nyssen@vitaecapital.com.au
00212K,University of Canberra,https://www.canberra.edu.au,0262015871,Michelle.Lincoln@canberra.edu.au
00213J,Queensland University of Technology (QUT),http://www.qut.edu.au,0731388086,vc@qut.edu.au
00219C,Central Queensland University,http://www.cqu.edu.au,0749309752,VC-CQUniversity@cqu.edu.au
00231G,Australian College of Natural Medicine Pty Ltd,http://www.endeavour.edu.au,0419724483,sandra.poletto@endeavour.edu.au
00233E,Griffith University,http://www.griffith.edu.au,0737355447,liz.burd@griffith.edu.au
00244B,University of Southern Queensland,http://www.usq.edu.au/study/international,61746312168,DVCStudentsandEducation@unisq.edu.au
00246M,Think: Colleges Pty Ltd,http://www.think.edu.au,0419356435,Aleks.subic@torrens.edu.au
00279B,Edith Cowan University,http://www.ecu.edu.au,0863045885,j.garman@ecu.edu.au
00300K,Charles Darwin University (CDU),http://www.cdu.edu.au,0889466553,vc@cdu.edu.au
00301J,Curtin University,http://www.curtin.edu.au,61892663064,dvcg@curtin.edu.au
00322D,Melbourne Girls Grammar - An Anglican School,http://www.mggs.vic.edu.au,0398629200,Principal@mggs.vic.edu.au
00324B,Mentone Girls Grammar School,http://www.mentonegirls.vic.edu.au,95811202,principal@mentonegirls.vic.edu.au
00325A,Methodist Ladies' College Limited,http://www.mlc.vic.edu.au,0392746333,principal@mlc.vic.edu.au
00331C,Life Ministry Centre Limited,http://www.oxley.vic.edu.au,0417455880,prinsec@oxley.vic.edu.au
00333A,The Peninsula School,http://www.tps.vic.edu.au,0397887718,lturner@pgs.vic.edu.au
00334M,Presbyterian Ladies' College,http://www.plc.vic.edu.au,0398057802,emma.burgess@plc.vic.edu.au
00340B,Gippsland Grammar,http://www.gippslandgs.vic.edu.au,0351436313,Paul.Walton@gippslandgs.vic.edu.au
00341A,King's Christian Education Ltd.,http://www.kingscollege.qld.edu.au,0755877600,rdavis@kingscollege.qld.edu.au
00343K,St Leonard's College,http://www.stleonards.vic.edu.au,0399099300,Principal@stleonards.vic.edu.au
00344J,St Margaret's School,http://www.stmargarets.vic.edu.au,0397038111,romea@stmargarets.vic.edu.au
00345G,St Michael's Grammar School,http://www.stmichaels.vic.edu.au,0383503243,head@stmichaels.vic.edu.au
00348E,Tintern Grammar,http://www.tintern.vic.edu.au,0398547777,principal@tintern.vic.edu.au
00349D,Toorak College,http://www.toorakcollege.vic.edu.au,61397887202,reception@toorakc.vic.edu.au
00350M,Trinity Grammar School Kew,http://www.trinity.vic.edu.au,0398543600,farrera@trinity.vic.edu.au
00354G,Wesley College Melbourne,http://www.wesleycollege.edu.au/,0418755294,nick.evans@wesleycollege.edu.au
00355F,Westbourne Grammar School,http://www.westbournegrammar.com,0397319403,camm.adrian@westbourne.vic.edu.au
00356E,Yarra Valley Grammar School,http://www.yvg.vic.edu.au,0392627700,principal@yvg.vic.edu.au
00360J,Concordia College Inc,http://www.concordia.sa.edu.au,0428198708,pweinert@concordia.sa.edu.au
00362G,Immanuel College,http://www.immanuel.sa.edu.au,0883751700,johnthompson@immanuel.sa.edu.au
00365D,Mercedes College Springfield,http://www.mercedes.catholic.edu.au,0883723200,abalkwill@mercedes.catholic.edu.au
00366C,Muirden Senior Secondary College,http://www.muirden.sa.edu.au,0882124342,AFacchini@muirden.sa.edu.au
00367B,Pembroke School Inc,http://www.pembroke.sa.edu.au,0883666225,mstaker@pembroke.sa.edu.au
00368A,Prince Alfred College Inc,https://pac.edu.au/,0403025667,droberts@pac.edu.au
00369M,Pulteney Grammar School,,0882165555,principal@pulteney.sa.edu.au
00371F,St Aloysius College,http://www.sac.sa.edu.au,0882173223,registrar@sac.sa.edu.au
00373D,St Peter's Collegiate Girls' School,http://www.stpetersgirls.sa.edu.au,0883342200,cskewes@stpetersgirls.sa.edu.au
00374C,Trinity College - North,,0885220642,david.kolpak@trinity.sa.edu.au
00375B,Wilderness School,http://www.wilderness.com.au,0418853392,barnfield@wilderness.com.au
00379J,St Paul's International College,http://www.spic.nsw.edu.au,0248682211,info@spic.nsw.edu.au
00380E,Ascham School Ltd,http://www.ascham.nsw.edu.au,0283567000,headofschool@ascham.nsw.edu.au
00382C,Georges River Grammar School Ltd,https://grg.nsw.edu.au/,0403292227,ben.haeusler@grg.nsw.edu.au
00399E,Knox Grammar School,http://www.knox.nsw.edu.au,0294870122,jamess@knox.nsw.edu.au
00401E,Masada College,http://www.masada.nsw.edu.au,0294493744,rcharet@staff.masada.nsw.edu.au
00415K,Redeemer Baptist School Ltd,http://www.redeemer.nsw.edu.au,0296306311,rbschool@ozemail.com.au
00428E,Edmund Rice Education Australia Colleges Ltd,http://www.aquinas.wa.edu.au,0894500602,Robert.henderson@aquinas.wa.edu.au
00431K,Bunbury Cathedral Grammar School Inc,http://www.bcgs.wa.edu.au,0897226001,headofschool@bcgs.wa.edu.au
00433G,Christ Church Grammar School Inc,http://www.ccgs.wa.edu.au,94421502,ajones@ccgs.wa.edu.au
00437D,Guildford Grammar School Inc,http://www.ggs.wa.edu.au,0893779248,peter.allen@ggs.wa.edu.au
00438C,The Governors of Hale School,http://www.hale.wa.edu.au,0893479725,headmaster@hale.wa.edu.au
00441G,Methodist Ladies' College,http://www.mlc.wa.edu.au,893830208,rclarke@mlc.wa.edu.au
00444E,Penrhos College,http://www.penrhos.wa.edu.au,93689514,harank@penrhos.wa.edu.au
00445D,Perth College Inc,http://www.pc.wa.edu.au,0894712100,sarah.mcgarry@pc.wa.edu.au
00447B,Presbyterian Ladies College Incorporated,http://www.plc.wa.edu.au,0894246411,Cate.begbie@plc.wa.edu.au
00449M,Scotch College,http://www.scotch.wa.edu.au,0893841466,headmaster@scotch.wa.edu.au
00451F,Mercy Education Limited,http://www.stbrigids.wa.edu.au,0892904237,Parker.Veronica@stbrigids.wa.edu.au
00452E,St Hilda's Anglican School for Girls Inc.,http://www.sthildas.wa.edu.au,0892854100,principals.office@sthildas.wa.edu.au
00454C,St Mary's Anglican Girls' School Inc,http://www.stmarys.wa.edu.au,0893419101,principal@stmarys.wa.edu.au
00460E,Wesley College,http://www.wesley.wa.edu.au,0893688032,nathan.jessup@wesley.wa.edu.au
00463B,Canning College,http://www.canningcollege.wa.edu.au,0892783500,leila.bothams@education.wa.edu.au
00466K,St John's Catholic College,,0889822222,cameron.hughes@nt.catholic.edu.au
00477G,The Friends' School Incorporated,http://www.friends.tas.edu.au,0362102200,ehill@friends.tas.edu.au
00478F,HUTCHINS SCHOOL BOARD OF MANAGEMENT,http://www.hutchins.tas.edu.au,0362214223,rob.mcewan@hutchins.tas.edu.au
00482K,ST MICHAEL'S COLLEGIATE SCHOOL,http://www.collegiate.tas.edu.au,0362114911,principal@collegiate.tas.edu.au
00487E,The Corporation of the Synod of the Diocese of Brisbane,,0738962201,alan.campbell@churchie.com.au
00488D,Blackheath and Thornburgh College,http://www.btc.qld.edu.au,0747875100,principal@btc.qld.edu.au
00489C,Board of Trustees of the Brisbane Grammar School,http://www.brisbanegrammar.com,0738345200,Anthony.Micallef@brisbanegrammar.com
00491J,The Presbyterian and Methodist Schools Association,,0733093512,Headmaster_EO@bbc.qld.edu.au
00494F,Downlands College Ltd,,0746909609,principal@downlands.qld.edu.au
