cricos_code,institution_name,website_url,phone_number,email,status
00001K,Canberra Institute of Technology,https://international.cit.edu.au/,62073100,international@cit.edu.au,Success (Website)
00002J,Macquarie University (Macquarie),www.mq.edu.au,61298504890,rorden.wilkinson@mq.edu.au,Success (CRICOS Fallback)
00003G,University of New England,www.une.edu.au,67732004,VC@une.edu.au,Success (CRICOS Fallback)
00004G,Australian Catholic University Limited,https://www.acu.edu.au/,1300275228,Zlatko.Skrbis@acu.edu.au,Success (Website)
00005F,Charles Sturt University (CSU),https://www.csu.edu.au/,263384209,vc@csu.edu.au,Success (CRICOS Fallback)
00008C,Monash University (Monash),www.monash.edu.au,0399059155,allie.clemans@monash.edu,Success (CRICOS Fallback)
00011G,Gordon Institute of TAFE,http://www.gordontafe.edu.au/,+61352250800,website@gordontafe.edu.au,Success (Website)
00012G,Holmesglen Institute,www.holmesglen.edu.au,1300639888,info@holmesglen.edu.au,Success (Website)
00017B,Bond University,http://www.bond.edu.au/,1800074074,registrar@bond.edu.au,Success (Website)
00018A,Department for Education,http://www.internationalstudents.sa.edu.au,0434265110,narelle.slivak3@sa.gov.au,Success (Website)
00020G,Department of Training and Workforce Development,http://www.tafeinternational.wa.edu.au/,+61892182100,Jacqui.Johnstone@dtwd.wa.gov.au,Success (Website)
00025B,The University of Queensland,www.uq.edu.au,0733652224,academic.registrar@uq.edu.au,Success (Website)
00026A,The University of Sydney,http://sydney.edu.au,1800793864,campus.assist@sydney.edu.au,Success (Website)
00051M,ELC Career College Pty Ltd,www.elc.edu.au,0292675688,david.scott@elc.edu.au,Success (Website)
00057E,Alexander Language School Pty Ltd,www.sgis.wa.edu.au,0892860290,plaurence@asc.wa.edu.au,Success (CRICOS Fallback)
00092B,TAFE SA,http://www.tafesa.edu.au/international,1800882661,Simone.Hawkins@tafesa.edu.au,Success (Website)
00094M,South Australian College of English Pty Ltd,http://www.sacecoll.sa.edu.au,0884105222,mkazmi@sacecoll.sa.edu.au,Success (CRICOS Fallback)
00098G,The University of New South Wales (UNSW),www.unsw.edu.au,61293852800,dvcacademic@unsw.edu.au,Success (Website)
00099F,University of Technology Sydney (UTS),www.uts.edu.au,95141513,mychel.palamountain@uts.edu.au,Success (Website)
00102E,University of Wollongong (UoW),www.uow.edu.au,1300367869,hpartridge@uow.edu.au,Success (Website)
00103D,Federation University Australia,https://www.federation.edu.au/search/?keywordQ=brochures&sortQ=1&typeQ=search&pageQ=0,1800333864,j.giri@federation.edu.au,Success (Website)
00109J,The University of Newcastle (UoN),https://www.newcastle.edu.au/,249215114,dvc-academic@newcastle.edu.au,Success (CRICOS Fallback)
00111D,Swinburne University of Technology,https://www.swinburne.edu.au/international,+61392144409,giving@swinburne.edu.au,Success (Website)
00113B,Deakin University (Deakin),http://www.deakin.edu.au/,392446570,n.calastas@deakin.edu.au,Success (CRICOS Fallback)
00114A,Flinders University,http://www.flinders.edu.au/,+612013002035420633,askflinders@flinders.edu.au,Success (Website)
00115M,La Trobe University (La Trobe),http://www.latrobe.edu.au/international,6134791061,S.Farraway@latrobe.edu.au,Success (CRICOS Fallback)
00116K,The University of Melbourne (UniMelb),http://www.unimelb.edu.au/,61383445245,academic-registrar@unimelb.edu.au,Success (CRICOS Fallback)
00117J,James Cook University,https://www.jcu.edu.au/,747814165,vc@jcu.edu.au,Success (CRICOS Fallback)
00120C,Australian National University,http://www.anu.edu.au/,455904531,bree.slater@anu.edu.au,Success (Website)
00121B,University of South Australia (UniSA),www.unisa.edu.au,0874205115,media@adelaide.edu.au,Success (Website)
00122A,Royal Melbourne Institute of Technology,www.rmit.edu.au,61399258606,international.partners@rmit.edu.au,Success (Website)
00123M,The University of Adelaide (Adelaide),http://www.adelaide.edu.au,874205115,media@adelaide.edu.au,Success (Website)
00124K,Victoria University,http://www.vu.edu.au/,61399191164,accessibility@vu.edu.au,Success (Website)
00125J,Murdoch University (Murdoch),www.murdoch.edu.au,+61893606000,Kelly.Smith@murdoch.edu.au,Success (Website)
00126G,The University of Western Australia (UWA),http://www.uwa.edu.au/,+61864886000,guy.littlefair@uwa.edu.au,Success (Website)
