url,title
https://aibtglobal.edu.au/courses/study/certificate-iv-accounting-bookkeeping/,Certificate IV in Accounting and Bookkeeping
https://aibtglobal.edu.au/courses/study/diploma-of-accounting-2/,Diploma of Accounting
https://aibtglobal.edu.au/courses/study/advanced-diploma-of-accounting-2/,Advanced Diploma of Accounting
https://aibtglobal.edu.au/courses/study/certificate-iv-project-management-practice/,Certificate IV in Project Management Practice
https://aibtglobal.edu.au/courses/study/diploma-project-management/,Diploma of Project Management
https://aibtglobal.edu.au/courses/study/advanced-diploma-program-management/,Advanced Diploma of Program Management
https://aibtglobal.edu.au/courses/study/diploma-leadership-management/,Diploma of Leadership and Management
https://aibtglobal.edu.au/courses/study/advanced-diploma-leadership-management/,Advanced Diploma of Leadership and Management
https://aibtglobal.edu.au/courses/study/graduate-diploma-of-strategic-leadership/,Graduate Diploma of Strategic Leadership
https://aibtglobal.edu.au/courses/study/graduate-diploma-management-learning/,Graduate Diploma of Management (Learning)
https://aibtglobal.edu.au/courses/study/graduate-diploma-of-strategic-leadership/,Graduate Diploma of Strategic Leadership
https://aibtglobal.edu.au/courses/study/graduate-diploma-management-learning/,Graduate Diploma of Management (Learning)
https://aibtglobal.edu.au/courses/study/certificate-iii-in-individual-support/,Certificate III in Individual Support (Ageing)
https://aibtglobal.edu.au/courses/study/certificate-iii-in-individual-support-disability/,Certificate III in Individual Support (Disability)
https://aibtglobal.edu.au/courses/study/certificate-iii-in-individual-support-ageing-disability/,Certificate III in Individual Support (Ageing and Disability)
https://aibtglobal.edu.au/courses/study/certificate-iv-in-ageing-support/,Certificate IV in Ageing Support
https://aibtglobal.edu.au/courses/study/certificate-iii-early-childhood-education-care/,Certificate III in Early Childhood Education and Care
https://aibtglobal.edu.au/courses/study/diploma-early-childhood-education-care/,Diploma of Early Childhood Education and Care
https://aibtglobal.edu.au/courses/study/diploma-community-services/,Diploma of Community Services
https://aibtglobal.edu.au/courses/study/certificate-iii-air-conditioning-refrigeration/,Certificate III in Air Conditioning and Refrigeration
https://aibtglobal.edu.au/courses/study/advanced-diploma-air-conditioning-refrigeration-engineering/,Advanced Diploma of Air Conditioning and Refrigeration Engineering
https://aibtglobal.edu.au/courses/study/certificate-iv-air-conditioning-refrigeration-servicing/,Certificate IV in Air Conditioning and Refrigeration Servicing
https://aibtglobal.edu.au/courses/study/certificate-iii-in-light-vehicle-mechanical-technology/,Certificate III in Light Vehicle Mechanical Technology
https://aibtglobal.edu.au/courses/study/certificate-iv-automotive-mechanical-diagnosis/,Certificate IV in Automotive Mechanical Diagnosis
https://aibtglobal.edu.au/courses/study/diploma-automotive-management/,Diploma of Automotive Management
https://aibtglobal.edu.au/courses/study/certificate-iv-automotive-electrical-technology/,Certificate IV In Automotive Electrical Technology
https://aibtglobal.edu.au/courses/study/certificate-iv-in-information-technology/,Certificate IV in Information Technology
https://aibtglobal.edu.au/courses/study/diploma-information-technology/,Diploma of Information Technology (Telecommunications Network Engineering)
https://aibtglobal.edu.au/courses/study/advanced-diploma-of-information-technology/,Advanced Diploma of Information Technology (Telecommunications Network Engineering)
https://aibtglobal.edu.au/courses/study/diploma-of-logistics/,Diploma of Logistics
https://aibtglobal.edu.au/courses/study/advanced-diploma-supply-chain-management/,Advanced Diploma of Supply Chain Management
https://aibtglobal.edu.au/courses/study/certificate-iii-in-painting-and-decorating/,Certificate III in Painting and Decorating
https://aibtglobal.edu.au/courses/study/certificate-iii-patisserie/,Certificate III in Patisserie
https://aibtglobal.edu.au/courses/study/certificate-iv-patisserie-2/,Certificate IV in Patisserie
https://aibtglobal.edu.au/courses/study/diploma-hospitality-management/,Diploma of Hospitality Management
https://aibtglobal.edu.au/courses/study/certificate-iii-commercial-cookery-2/,Certificate III in Commercial Cookery
https://aibtglobal.edu.au/courses/study/advanced-diploma-hospitality-management/,Advanced Diploma of Hospitality Management
https://aibtglobal.edu.au/courses/study/certificate-iv-in-kitchen-management/,Certificate IV in Kitchen Management
