cricos_course_code,course_name,old_fee,new_fee,action
115702C,,NULL,?,VERIFY: no register entry
118394H,Bachelor of Psychology (Cognitive Neuroscience),140100,108300,VERIFY: SQL fee differs from register (left as-is)
118395G,Bachelor of Psychology (Counselling and Interpersonal Skills),140100,108300,VERIFY: SQL fee differs from register (left as-is)
118396F,Bachelor of Psychology (Honours) (Cognitive Neuroscience),186800,144400,VERIFY: SQL fee differs from register (left as-is)
115769F,Diploma in Building Studies,NULL,49000,NULL → filled from CRICOS register
115780M,Diploma in Legal Studies,54900,19000,VERIFY: SQL fee differs from register (left as-is)
115781K,Diploma in Mathematical Studies,54900,50500,VERIFY: SQL fee differs from register (left as-is)
115789B,Graduate Certificate in 3D Animation,10850,20650,partial/per-semester → full (CRICOS register)
115790J,Graduate Certificate in Aboriginal Studies,10850,21250,partial/per-semester → full (CRICOS register)
115794E,Graduate Certificate in Business Administration,13725,24950,partial/per-semester → full (CRICOS register)
115793F,Graduate Certificate in Business,12625,24950,partial/per-semester → full (CRICOS register)
115795D,Graduate Certificate in Commerce,13050,24995,partial/per-semester → full (CRICOS register)
115796C,Graduate Certificate in Compositing and Tracking,10850,20650,partial/per-semester → full (CRICOS register)
115798A,Graduate Certificate in Counselling and Psychotherapy,11675,21500,partial/per-semester → full (CRICOS register)
115799M,Graduate Certificate in Creature Effects,10850,20650,partial/per-semester → full (CRICOS register)
115822F,Graduate Certificate in Curatorial and Museum Studies,11950,21250,partial/per-semester → full (CRICOS register)
115802K,Graduate Certificate in Dynamic Effects and Lighting,6950,20650,partial/per-semester → full (CRICOS register)
115804H,Graduate Certificate in Education,10850,20000,partial/per-semester → full (CRICOS register)
115807E,Graduate Certificate in Engineering,13725,25500,partial/per-semester → full (CRICOS register)
115809C,Graduate Certificate in Environmental Policy and Management,11950,21250,partial/per-semester → full (CRICOS register)
115810K,Graduate Certificate in Film and Television,9125,21700,partial/per-semester → full (CRICOS register)
115811J,Graduate Certificate in Global Executive Business Administration,18325,24950,VERIFY: SQL fee differs from register (left as-is)
115815E,Graduate Certificate in Immersive Media Technologies ,11950,20250,partial/per-semester → full (CRICOS register)
115821G,Graduate Certificate in Midwifery,11675,20000,partial/per-semester → full (CRICOS register)
115823E,Graduate Certificate in Nursing,13725,20000,partial/per-semester → full (CRICOS register)
115824D,Graduate Certificate in Project Management,12625,24950,partial/per-semester → full (CRICOS register)
115825C,Graduate Certificate in Public Health,12625,22250,partial/per-semester → full (CRICOS register)
117264D,Graduate Certificate in Research Design,10850,20650,partial/per-semester → full (CRICOS register)
117263E,Graduate Certificate in Research Skills,NULL,20650,NULL → filled from CRICOS register
115826B,Graduate Certificate in Science,14150,25250,partial/per-semester → full (CRICOS register)
115827A,Graduate Certificate in Statistics,13725,25750,partial/per-semester → full (CRICOS register)
115830F,Graduate Certificate in Urban and Regional Planning,12625,23250,partial/per-semester → full (CRICOS register)
115831E,Graduate Certificate in Wine and Food Business,13050,24950,partial/per-semester → full (CRICOS register)
115844M,Graduate Diploma in Counselling and Psychotherapy,46700,43000,VERIFY: SQL fee differs from register (left as-is)
115872G,Graduate Diploma in Curatorial and Museum Studies,47800,42500,VERIFY: SQL fee differs from register (left as-is)
115846J,Graduate Diploma in Design,46700,45500,VERIFY: SQL fee differs from register (left as-is)
115848G,Graduate Diploma in Education Studies,NULL,40000,NULL → filled from CRICOS register
115850B,Graduate Diploma in Engineering (Management),50500,51000,VERIFY: SQL fee differs from register (left as-is)
115849F,Graduate Diploma in Engineering,54900,51000,VERIFY: SQL fee differs from register (left as-is)
115851A,Graduate Diploma in Environmental Policy and Management,NULL,42500,NULL → filled from CRICOS register
115860M,Graduate Diploma in Human Resource Management,50500,49900,VERIFY: SQL fee differs from register (left as-is)
115832D,Graduate Diploma in  Immersive Media Technologies ,47800,40500,VERIFY: SQL fee differs from register (left as-is)
115862J,Graduate Diploma in International Business,54900,49900,VERIFY: SQL fee differs from register (left as-is)
115867D,Graduate Diploma in Management,50500,49900,VERIFY: SQL fee differs from register (left as-is)
115868C,Graduate Diploma in Marketing,50500,49900,VERIFY: SQL fee differs from register (left as-is)
115871H,Graduate Diploma in Midwifery,46700,40000,VERIFY: SQL fee differs from register (left as-is)
115875D,Graduate Diploma in Nursing,54900,40000,VERIFY: SQL fee differs from register (left as-is)
115876C,Graduate Diploma in Procurement and Supply Chain Management ,50500,49900,VERIFY: SQL fee differs from register (left as-is)
115877B,Graduate Diploma in Project Management,50500,49900,VERIFY: SQL fee differs from register (left as-is)
115878A,Graduate Diploma in Public Health,50500,44500,VERIFY: SQL fee differs from register (left as-is)
115880G,Graduate Diploma in Statistics,54900,51500,VERIFY: SQL fee differs from register (left as-is)
115882E,"Graduate Diploma in Technology, Innovation and Entrepreneurship",50500,49900,VERIFY: SQL fee differs from register (left as-is)
115883D,"Graduate Diploma in Tourism, Events and Hospitality Management",50500,49900,VERIFY: SQL fee differs from register (left as-is)
115886A,Graduate Diploma in Viticulture and Oenology,59300,53500,VERIFY: SQL fee differs from register (left as-is)
115887M,Graduate Diploma in Wine and Food Business,52200,49900,VERIFY: SQL fee differs from register (left as-is)
115897J,Master of Architecture,101000,96200,VERIFY: SQL fee differs from register (left as-is)
115921C,Master of Information Technology (Computing and Innovation),106600,106660,VERIFY: SQL fee differs from register (left as-is)
115931A,Master of Midwifery,93400,70050,VERIFY: SQL fee differs from register (left as-is)
115936G,Master of Nursing,109800,82350,VERIFY: SQL fee differs from register (left as-is)
