url,title
https://ciet.edu.au/course/bsb50420-diploma-of-leadership-and-management/,BSB50420 Diploma of Leadership and Management
https://ciet.edu.au/course/bsb60420-advanced-diploma-of-leadership-and-management/,BSB60420 Advanced Diploma of Leadership and Management
https://ciet.edu.au/course/bsb80120-graduate-diploma-of-management-learning/,BSB80120 Graduate Diploma of Management (Learning)
https://ciet.edu.au/course/chc33021-certificate-iii-in-individual-support/,CHC33021 Certificate III in Individual Support
https://ciet.edu.au/course/chc43121-certificate-iv-in-disability-support/,CHC43121 Certificate IV in Disability Support
https://ciet.edu.au/course/chc52025-diploma-of-community-services/,CHC52025 Diploma of Community Services
https://ciet.edu.au/course/cpc30220-certificate-iii-in-carpentry/,CPC30220 Certificate III in Carpentry
https://ciet.edu.au/course/cpc30620-certificate-iii-in-painting-and-decorating/,CPC30620 Certificate III in Painting and Decorating
https://ciet.edu.au/course/cpc33020-certificate-iii-in-bricklaying-and-blocklaying/,CPC33020 Certificate III in Bricklaying and Blocklaying
https://ciet.edu.au/course/cpc40120-cert-iv-in-building-construction/,CPC40120 Certificate IV in Building and Construction (Building)
https://ciet.edu.au/course/cpc50220-diploma-of-building-and-construction-building/,CPC50220 Diploma of Building and Construction (Building)
https://ciet.edu.au/course/cpc60220-adv-diploma-of-building-construction/,CPC60220 Advanced Diploma of Building and Construction (Management)
https://ciet.edu.au/course/cpcwhs1001-white-card/,CPCWHS1001 White Card
https://ciet.edu.au/course/hltaid0011-provide-first-aid/,HLTAID011 Provide First Aid
https://ciet.edu.au/course/ict50220-diploma-of-information-technology/,ICT50220 Diploma of Information Technology (Cyber Security and Telecommunication)
https://ciet.edu.au/course/ict60220-adv-diploma-of-information-technology/,ICT60220 Advanced Diploma of Information & Technology (Cyber Security)
https://ciet.edu.au/course/sit30816-certificate-iii-in-commercial-cookery/,SIT30821 Certificate III in Commercial Cookery
https://ciet.edu.au/course/sit40516-certificate-iv-in-commercial-cookery-2/,SIT40521 Certificate IV in Kitchen Management
https://ciet.edu.au/course/sit50416-diploma-of-hospitality-management/,SIT50422 – Diploma of Hospitality Management
https://ciet.edu.au/course/sit60322-advanced-diploma-of-hospitality-management/,SIT60322 Advanced Diploma of Hospitality Management
