title,cricos_code,duration,offshore_fee
Associate Degree of Applied Finance and Accounting,089807C,2 years,"$42,000 "
Associate Degree of Business,068627C,2 years,"$42,000 "
Bachelor of Accounting and Data Assurance,114562G,3 years,"$72,000 "
Bachelor of Applied Finance and Accounting,089808B,3 years,"$63,000 "
Bachelor of International Business,068628B,3 years,"$63,000 "
Bachelor of Laws,087704D,4 years,"$96,000 "
Diploma in Applied Finance and Accounting,089806D,1 year,"$21,000 "
Diploma of Business,068626D,1 year,"$21,000 "
Graduate Certificate in Accounting,074225D,0.5 years,"$11,960 "
Graduate Certificate in Business,100485,0.5 years,"$11,960 "
Graduate Certificate in Business Management,080011A,0.5 years,"$11,960 "
Graduate Certificate in Data Analytics,111337G,0.7 years,"$13,200 "
Graduate Certificate in Financial Technology Management,100488,0.5 years,"$11,960 "
Graduate Diploma of Accounting,074226C,1 year,"$23,920 "
Graduate Diploma of Business Administration,096895F,1 year,"$23,000 "
Graduate Diploma of Data Analytics,111336H,1 year,"$26,400 "
Graduate Diploma of Financial Technology Management,100489,1 year,"$23,920 "
Graduate Diploma of International Business,080016G,1 year,"$23,920 "
Graduate Diploma of Marketing,100486,1 year,"$23,920 "
Master of Accounting Intelligence,102137,2 years,"$47,840 "
Master of Accounting Practice,092632F,1.5 years,"$35,880 "
Master of Applied Financial Technology and Blockchain,102140,2 years,"$47,840 "
Master of Big Data Auditing,102138,2 years,"$47,840 "
Master of Business Administration (12 units),112837A,2 years,"$49,500 "
Master of Business Administration (16 units),096894G,2 years,"$46,000 "
Master of Business Administration (Business Analytics),103496C,2 years,"$46,000 "
Master of Business Administration (Digital Business Applications),103497B,2 years,"$46,000 "
Master of Business Administration (FinTech Management),103494E,2 years,"$46,000 "
Master of Business Administration (Professional Accounting),103495D,2 years,"$46,000 "
Master of Business Research,117775C,2 years,"$60,000 "
Master of Data Analytics,111335J,2 years,"$52,800 "
Master of International Business,080013K,1.5 years,"$35,880 "
Master of Marketing,100487,2 years,"$35,880 "
Master of Professional Accounting,074227B,1.5 years,"$35,880 "
Master of Professional Accounting Services,074228A,2 years,"$47,840 "
Master of Taxation (with Data Analysis and Artificial Intelligence),102139,2 years,"$47,840 "
