000326M	Bachelor of Communication
000628G	Bachelor of Mathematics (Honours)
000738B	Bachelor of Science (Honours)
000774J	Doctor of Philosophy (Medicine)
000817C	Doctor of Philosophy (Mechanical Engineering)
000821G	Doctor of Philosophy (Electrical Engineering)
000822F	Doctor of Philosophy (Chemical Engineering)
000828M	Doctor of Philosophy (Psychology)
000829K	Doctor of Philosophy (Physics)
000830F	Doctor of Philosophy (Geology)
000847G	Doctor of Philosophy (Chemistry)
000851A	Doctor of Philosophy (Biological Sciences)
000854J	Doctor of Philosophy (Statistics)
000855G	Doctor of Philosophy (Physical Geography)
000856G	Doctor of Philosophy (Law)
000865F	Doctor of Philosophy (Economics)
000866E	Doctor of Philosophy (Linguistics)
000867D	Doctor of Philosophy (Sociology and Anthropology)
000868C	Doctor of Philosophy (Drama)
000869B	Doctor of Philosophy (Education)
000877B	Doctor of Philosophy (Philosophy)
000878A	Doctor of Philosophy (History)
000879M	Doctor of Philosophy (English)
000880G	Doctor of Philosophy (Classics)
000896K	Master of Philosophy (Computer Science)
000909K	Master of Philosophy (Education)
001131C	Bachelor of Nutrition and Dietetics (Honours)
001132B	Bachelor of Occupational Therapy (Honours)
001133A	Bachelor of Business
001600A	Bachelor of Design (Architecture)
001602K	Bachelor of Arts
001603J	Bachelor of Commerce
001604G	Bachelor of Computer Science
001608D	Bachelor of Mathematics
002429K	Doctor of Philosophy (Management)
002444M	Doctor of Philosophy (Civil Engineering)
002476C	Doctor of Philosophy (Mathematics)
003693G	Bachelor of Construction Management (Building) (Honours)
006950E	Master of Philosophy (Architecture)
006951D	Doctor of Philosophy (Architecture)
100135	Master of Cyber Security
100265	Master of Materials Science and Engineering
100471	Master of Environmental Law
100472	Bachelor of Mathematics (Advanced)
100473	Bachelor of Science (Advanced)
100474	Bachelor of Psychological Science (Advanced)
100479	Bachelor of Coastal and Marine Science
100758	Bachelor of Music
100759	Bachelor of Visual Communication Design
100760	Bachelor of Development Studies / Bachelor of Global Indigenous Studies
100761	Master of Business Psychology
101396	Master of Business Administration (Global) / Master of Science (Data Analytics)
101397	Bachelor of Arts (Honours)
011012E	Bachelor of Environmental Engineering (Honours)
011014C	Master of Philosophy (Laws)
011015B	Master of Philosophy (Social Work)
012326A	English Language Bridging
012981C	Master of Philosophy (Building)
012982B	Doctor of Philosophy (Building)
012986J	Doctor of Philosophy (Computer Science)
013102J	Study Abroad Scheme
013441A	Doctor of Philosophy (Social Work)
013963G	Master of Philosophy (Surveying)
014637C	Bachelor of Social Science
014638B	Bachelor of Social Science (Honours)
015700D	Bachelor of Commerce (Honours)
015708G	Master of Philosophy (Economics)
016817E	Doctor of Philosophy (Fine Art)
018786B	Bachelor of Civil Engineering (Honours)
018788M	Bachelor of Chemical Engineering (Honours)
018795A	Bachelor of Mechanical Engineering (Honours)
021335C	Bachelor of Software Engineering (Honours)
022956K	Graduate Certificate in Business Administration
023082C	Master of Leadership and Management in Education
023083B	Master of Philosophy (Fine Art)
023091B	Doctor of Philosophy (Music)
023093M	Doctor of Philosophy (Food Science)
023103C	Bachelor of Commerce/Bachelor of Laws (Honours)
023104B	Bachelor of Arts/Bachelor of Laws (Honours)
023110D	Bachelor of Biomedical Science
027418G	Master of Philosophy (Music)
027423K	Graduate Certificate in Marketing
027432J	Graduate Certificate in Human Resource Management
027433G	Doctor of Philosophy (Nursing)
027434G	Doctor of Philosophy (Modern Languages)
