url,title
https://ahsi.edu.au/uee30280-certificate-iii-in-electrotechnology-electrician/,UEE30820 Certificate III in Electrotechnology Electrician
https://ahsi.edu.au/uee40620-certificate-iv-in-electrotechnology-electrician/,UEE40620 Certificate IV in Electrotechnology Electrician
https://ahsi.edu.au/uee62122-advanced-diploma-of-engineering-technology-electrical-2/,UEE62122 Advanced Diploma of Engineering Technology – Electrical
https://ahsi.edu.au/cpc30220-certificate-iii-in-carpentry/,CPC30220 Certificate III in Carpentry
https://ahsi.edu.au/chc30121-certificate-iii-in-early-childhood-education-and-care/,CHC30121 Certificate III in Early Childhood Education and Care
https://ahsi.edu.au/chc33021-certificate-iii-in-individual-support/,CHC33021 Certificate III in Individual Support (Ageing and Disability)
https://ahsi.edu.au/chc43015-certificate-iv-in-ageing-support/,CHC43015 Certificate IV in Ageing Support
https://ahsi.edu.au/chc43315-certificate-iv-in-mental-health/,CHC43315 Certificate IV in Mental Health
https://ahsi.edu.au/chc51015-diploma-of-counselling/,CHC51015 Diploma of Counselling – accredited by the Australian Counselling Association
https://ahsi.edu.au/chc52015-diploma-of-community-services/,CHC52015 Diploma of Community Services
https://ahsi.edu.au/chc52021-diploma-of-community-services/,CHC52021 Diploma of Community Services
https://ahsi.edu.au/chc52025-diploma-of-community-services/,CHC52025 Diploma of Community Services
https://ahsi.edu.au/chc50121-diploma-of-early-childhood-education-and-care/,CHC50121 Diploma of Early Childhood Education and Care
https://ahsi.edu.au/chc53315-diploma-of-mental-health/,CHC53315 Diploma of Mental Health
https://ahsi.edu.au/bsbss00094-cyber-security-awareness-skill-set/,BSBSS00094 Cyber Security Awareness Skill Set
https://ahsi.edu.au/ict50220-diploma-of-it-specialisation-cyber-security/,ICT50220 Diploma of IT (Cyber Security)
https://ahsi.edu.au/ict60220-advanced-diploma-of-it-specialisation-cyber-security/,ICT60220 Advanced Diploma of IT (Cyber Security)
https://ahsi.edu.au/bsb80120-graduate-diploma-of-management-learning/,BSB80120 Graduate Diploma of Management (Learning)
https://ahsi.edu.au/chcss00114-entry-into-care-roles-skills-set/,CHCSS00114 Entry into Care Roles Skills Set
https://ahsi.edu.au/individual-units-of-competency/,Individual Units of Competency
https://ahsi.edu.au/elicos-english-courses/,ELICOS English courses
