url,title
https://auscanus.edu.au/courses/advanced-diploma-of-hospitality-management/,ADVANCED DIPLOMA OF HOSPITALITY MANAGEMENT
https://auscanus.edu.au/courses/certificate-iv-in-disability-support/,CERTIFICATE IV IN DISABILITY SUPPORT
https://auscanus.edu.au/courses/certificate-iv-in-ageing-support/,CERTIFICATE IV IN AGEING SUPPORT
https://auscanus.edu.au/courses/advanced-diploma-of-leadership-and-management/,ADVANCED DIPLOMA OF LEADERSHIP AND MANAGEMENT
https://auscanus.edu.au/courses/certificate-iv-in-leadership-and-management/,CERTIFICATE IV IN LEADERSHIP AND MANAGEMENT
https://auscanus.edu.au/courses/diploma-of-business/,DIPLOMA OF BUSINESS
https://auscanus.edu.au/courses/diploma-of-leadership-and-management/,DIPLOMA OF LEADERSHIP AND MANAGEMENT
https://auscanus.edu.au/courses/diploma-of-hospitality-management/,DIPLOMA OF HOSPITALITY MANAGEMENT
https://auscanus.edu.au/courses/certificate-iv-in-kitchen-management/,CERTIFICATE IV IN KITCHEN MANAGEMENT
https://auscanus.edu.au/courses/certificate-iii-in-commercial-cookery/,CERTIFICATE III IN COMMERCIAL COOKERY
https://auscanus.edu.au/courses/elicos-general-english/,ELICOS GENERAL ENGLISH
https://auscanus.edu.au/courses/elicos-academic-purposes/,ELICOS FOR ACADEMIC PURPOSES (EAP)
https://auscanus.edu.au/courses/hospitality-stream-operations/,HOSPITALITY STREAM (OPERATIONS)
https://auscanus.edu.au/courses/leadership-management-stream/,LEADERSHIP & MANAGEMENT STREAM
https://auscanus.edu.au/courses/commercial-cookery-stream-plus-ccs-2/,COMMERCIAL COOKERY STREAM PLUS
https://auscanus.edu.au/courses/graduate-diploma-of-management-learning/,GRADUATE DIPLOMA OF MANAGEMENT (LEARNING)
https://auscanus.edu.au/courses/diploma-of-community-services/,DIPLOMA OF COMMUNITY SERVICES
https://auscanus.edu.au/courses/certificate-iii-in-individual-support/,CERTIFICATE III IN INDIVIDUAL SUPPORT
