CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00001K,Canberra Institute of Technology,078241E,ACT Year 12 Certificate,,No,12 - Mixed Field Programmes,1201 - General Education Programmes,120101 - General Primary and Secondary Education Programmes,,,,Senior Secondary Certificate of Education,No,No,,,,English,44,"$13,300.00",$150.00,"$13,450.00",No
00001K,Canberra Institute of Technology,091155E,Certificate IV in Mental Health,CHC43315,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Certificate IV,No,Yes,4.00,20,80,English,52,"$16,980.00",$175.00,"$17,155.00",No
00001K,Canberra Institute of Technology,094149A,Certificate III in Hairdressing,SHB30416,No,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110303 - Hairdressing,,,,Certificate III,No,Yes,28.00,18,504,English,78,"$24,120.00","$2,005.00","$26,125.00",No
00001K,Canberra Institute of Technology,097541B,English for Study and Life (Elementary),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097543M,English for Study and Life (Pre-Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097544K,English for Study and Life (Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097545J,English for Study and Life (Upper-Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097546G,English for Study and Life (Advanced),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097547G,English for Study and Life (Academic),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,104665E,Certificate IV in Building and Construction,CPC40120,No,04 - Architecture and Building,0403 - Building,040303 - Building Construction Management,,,,Certificate IV,No,No,,,,English,78,"$25,470.00",$0.00,"$25,470.00",No
