"id","cricos_provider_code","institution_name","trading_name","website_url","postal_address_city","postal_address_state"
"639","03782G","A.M.A. Services (W.A.) Pty Ltd","AMA College",NULL,"Nedlands","WA"
"11","00197D","Acknowledge Education Pty Ltd","Stott's Colleges, Australian Surf Industry Training School, Front Cooking School, Melbourne Language Centre, Affectors Academy",NULL,"Melbourne","VIC"
"761","04249J","Adelaide University",NULL,NULL,"Adelaide","SA"
"482","02933E","Australasian Lawrence Aged Care College Pty Ltd","ALACC Health College, Australia",NULL,"Northcote","VIC"
"1","00004G","Australian Catholic University Limited","Australian Catholic University",NULL,"NORTH SYDNEY","NSW"
"464","02731D","Avondale University","Avondale University",NULL,"COORANBONG","NSW"
"430","02411J","Box Hill Institute","Box Hill Institute",NULL,"BOX HILL","VIC"
"126","00001K","Canberra Institute of Technology",NULL,NULL,"JAMISON","ACT"
"174","00219C","Central Queensland University","Central Queensland University",NULL,"NORTH ROCKHAMPTON","QLD"
"14","00300K","Charles Darwin University (CDU)","Charles Darwin University",NULL,"DARWIN","NT"
"2","00005F","Charles Sturt University (CSU)","Charles Sturt University",NULL,"WAGGA WAGGA","NSW"
"301","00881F","Chisholm Institute","Chisholm Institute",NULL,"DANDENONG","VIC"
"180","00301J","Curtin University","Curtin University",NULL,"PERTH","WA"
"5","00113B","Deakin University (Deakin)",NULL,NULL,"BURWOOD","VIC"
"134","00020G","Department of Training and Workforce Development","TAFE International Western Australia",NULL,"Osborne Park Delivery Centre","WA"
"179","00279B","Edith Cowan University","Edith Cowan University",NULL,"JOONDALUP","WA"
"481","02925E","Education Training & Employment Australia Pty. Ltd.","Education Training & Employment Australia",NULL,"Heidelberg","VIC"
"33","02804C","EQUALS International (Aust) Pty Ltd","EQUALS International",NULL,"ADELAIDE","SA"
"3","00103D","Federation University Australia","Federation University Australia",NULL,"BALLARAT","VIC"
"145","00114A","Flinders University",NULL,NULL,"ADELAIDE","SA"
"672","03920B","Fox Endeavours Pty Ltd","Fox Education and Consultancy",NULL,"Casuarina","NT"
"130","00011G","Gordon Institute of TAFE",NULL,NULL,"GEELONG MAIL CENTRE","VIC"
"176","00233E","Griffith University","Griffith University",NULL,"Nathan","QLD"
"51","03386G","Health Careers International Pty Ltd","Institute of Health and Nursing Australia",NULL,"Heidelberg Heights","VIC"
"131","00012G","Holmesglen Institute","Holmesglen, Holmesglen Institute",NULL,"HOLMESGLEN","VIC"
"547","03407G","Institute of Health & Management Pty Ltd",NULL,NULL,"North Melbourne","VIC"
"6","00117J","James Cook University","James Cook University",NULL,"TOWNSVILLE","QLD"
"599","03644F","Key 2 Learning Pty Ltd","Key 2 Learning Pty Ltd",NULL,"Watson","ACT"
"146","00115M","La Trobe University (La Trobe)","La Trobe University",NULL,"BUNDOORA","VIC"
"127","00002J","Macquarie University (Macquarie)","Macquarie University",NULL,"Wallumattagal Campus","NSW"
"37","03010G","Malekhu Investments Pty Ltd","Queensford College, Q Learning",NULL,"Brisbane","QLD"
