cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
00004G,Australian Catholic University,Australian Catholic University Limited,Government,https://www.acu.edu.au/,,,,,,,,,,,,,,
00005F,Charles Sturt University,Charles Sturt University (CSU),Government,https://www.csu.edu.au/,,,,,,,,,,,,,,
00103D,Federation University Australia,Federation University Australia,Government,https://www.federation.edu.au/search/?keywordQ=brochures&sortQ=1&typeQ=search&pageQ=0,,,,,,,,,,,,,,
00109J,"The University of Newcastle (UoN), The University of Newcastle Language Centre, Sydney",The University of Newcastle (UoN),Government,https://www.newcastle.edu.au/,,,,,,,,,,,,,,
00113B,NULL,Deakin University (Deakin),Government,http://www.deakin.edu.au/,,,,,,,,,,,,,,
00117J,James Cook University,James Cook University,Government,https://www.jcu.edu.au/,,,,,,,,,,,,,,
00120C,NULL,Australian National University,Government,http://www.anu.edu.au/,,,,,,,,,,,,,,
00123M,NULL,The University of Adelaide (Adelaide),Government,http://www.adelaide.edu.au,,,,,,,,,,,,,,
00124K,Victoria University,Victoria University,Government,http://www.vu.edu.au/,,,,,,,,,,,,,,
00161E,Kent Institute Australia,Kent Institute Australia Pty Ltd,Private,https://kent.edu.au/important-dates/,,,,,,,,,,,,,,
00197D,"Stott's Colleges, Australian Surf Industry Training School, Front Cooking School, Melbourne Language Centre, Affectors Academy",Acknowledge Education Pty Ltd,Private,https://www.acknowledgeeducation.edu.au/,,,,,,,,,,,,,,
00212K,NULL,University of Canberra,Government,https://www.canberra.edu.au,,,,,,,,,,,,,,
00213J,Queensland University of Technology,Queensland University of Technology (QUT),Government,https://www.qut.edu.au/about,,,,,,,,,,,,,,
00300K,Charles Darwin University,Charles Darwin University (CDU),Government,www.cdu.edu.au,,,,,,,,,,,,,,
00586B,NULL,University of Tasmania (UTAS),Government,https://utas.edu.au/international,,,,,,,,,,,,,,
00917K,Western Sydney University,Western Sydney University,Government,https://www.westernsydney.edu.au/,,,,,,,,,,,,,,
01032F,The University of Notre Dame Australia,The University of Notre Dame Australia,Private,https://www.notredame.edu.au/,,,,,,,,,,,,,,
01241G,Southern Cross University,Southern Cross University (SCU),Government,https://www.scu.edu.au/,,,,,,,,,,,,,,
01595D,University of the Sunshine Coast,University of the Sunshine Coast,Government,https://www.usc.edu.au/,,,,,,,,,,,,,,
01774A,Alliance College,ASHT Pty Ltd,Private,https://alliancecollege.edu.au/,,,,,,,,,,,,,,
01796F,Cambridge College Australia; TradeTech Australia,Cambridge Academy of English Pty Ltd,Private,https://vit.edu.au/,,,,,,,,,,,,,,
02044E,VIT (Victorian Institute of Technology),Victorian Institute of Technology Pty Ltd,Private,www.vit.edu.au,,,,,,,,,,,,,,
02439G,"AAPoly, AMI Education",Academies Australasia Polytechnic Pty Limited,Private,http://www.aapoly.edu.au/,,,,,,,,,,,,,,
02491D,"Top Education Institute, Australian National Institute of Management and Commerce",Top Education Group Ltd,Private,https://www.imc.edu.au/,,,,,,,,,,,,,,
02571D,"Universal Business School Sydney (UBSS), Group Colleges Australia",Group Colleges Australia Pty Ltd,Private,https://www.gca.edu.au/,,,,,,,,,,,,,,
02639M,Holmes Institute,Holmes Institute Pty Ltd,Private,https://www.holmes.edu.au/,,,,,,,,,,,,,,
02672K,"Greenwich English College, Greenwich Management College",Greenwich College Pty Ltd,Private,https://www.greenwichcollege.edu.au/,,,,,,,,,,,,,,
02684F,WIN English Centre / WIN College,George Education Group Pty Ltd,Private,https://wincollege.edu.au/,,,,,,,,,,,,,,
02695C,Imagine Education Australia,Imagine Education Australia Pty Ltd as trustee for The Imagine Education Australia Unit Trust,Private,https://www.imagineeducation.com.au/,,,,,,,,,,,,,,
02727M,Holmes Institute,Holmes Institute Pty Ltd,Private,https://www.holmes.edu.au/,,,,,,,,,,,,,,
02767C,Holmes Institute,Holmes Institute Pty Ltd,Private,https://www.holmes.edu.au/,,,,,,,,,,,,,,
02800G,Warwick Institute of Australia Pty Ltd,Warwick Institute of Australia Pty Ltd,Private,https://www.warwick.edu.au/,,,,,,,,,,,,,,
02804C,EQUALS International,EQUALS International (Aust) Pty Ltd,Private,https://equals.edu.au/,,,,,,,,,,,,,,
02856B,Nova Institute of Technology,Nova International Education Pty Ltd,Private,www.novainstitute.net.au,,,,,,,,,,,,,,
02915G,Durban International College,Durban International College Pty Ltd,Private,https://dic.edu.au/,,,,,,,,,,,,,,
02996A,Danford College,Star Gazers Education Pty Ltd,Private,www.danford.edu.au,,,,,,,,,,,,,,
03010G,"Queensford College, Q Learning",Malekhu Investments Pty Ltd,Private,www.queensford.edu.au,,,,,,,,,,,,,,
03029G,Australian Careers College Pty Ltd,Australian Careers College Pty Ltd,Private,www.accollege.edu.au,,,,,,,,,,,,,,
03047E,Stanley College,Stanley International College Pty Ltd,Private,www.stanleycollege.edu.au,,,,,,,,,,,,,,
03048D,Asia Pacific International College,Asia Pacific International College Pty Ltd,Private,www.apicollege.edu.au,,,,,,,,,,,,,,
03071E,"Australian College of Sport & Fitness, Australian Learning Group",Australian Learning Group Pty Ltd,Private,https://alg.edu.au/,,,,,,,,,,,,,,
03093K,Spencer College; Spencer College Pty Ltd,Spencer College Pty Ltd,Private,https://spencercollege.edu.au/,,,,,,,,,,,,,,
03147A,AIH Higher Education,Australian Institute of Higher Education Pty Ltd,Private,www.aih.nsw.edu.au,,,,,,,,,,,,,,
03156M,Apex Australia Vocational Education,Apex Institute of Education Pty Ltd,Private,www.apexaustralia.edu.au,,,,,,,,,,,,,,
03164M,Australian College of Technology and Business Pty Ltd,Australian College of Technology and Business Pty Ltd,Private,www.actb.com.au,,,,,,,,,,,,,,
03217C,Central Australian College,Central Australian Institute of Technology Pty Ltd,Private,https://cac.edu.au/,,,,,,,,,,,,,,
03226B,Brisbane College of Horticulture,BNB International Colleges Pty Ltd,Private,https://bch.edu.au/,,,,,,,,,,,,,,
03256G,NULL,Nortwest Pty Ltd,Private,https://www.nortwest.edu.au/,,,,,,,,,,,,,,
03322B,Academique Pty Ltd,Academique Pty Ltd,Private,http://www.academique.qld.edu.au,,,,,,,,,,,,,,
03328G,Skills Institute Australia,Skilled Services Australia Pty Ltd,Private,https://www.skillsaustralia.edu.au/,,,,,,,,,,,,,,
03386G,Institute of Health and Nursing Australia,Health Careers International Pty Ltd,Private,https://www.hcigroup.com.au/,,,,,,,,,,,,,,
03389E,Torrens University Australia; Torrens University Language Centre; Chifley Business School at Torrens University Australia CBS at Torrens University Australia Blue Mountains International Hotel Management School at Torrens University Australia BMIHMS at To,Torrens University Australia Limited,Private,https://www.torrens.edu.au/,,,,,,,,,,,,,,
